codigo_cliente;regional;gerencia;subcanal;subcanal_;Gerencia_F;Cliente
10388048;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
10302626;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
12230605;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
12732856;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
10582124;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12946411;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
11572068;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
13167221;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
12252760;CO Norte;CO GC Valledupar;OOH DL Tienda Social;tiendita;#REF!;#REF!
10371287;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13649859;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
11716075;CO Norte;CO GC Valledupar;OOH DL Tienda Social;tiendita;#REF!;#REF!
13448232;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11282707;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
11102401;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
11172105;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
12623470;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
10368463;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
13870388;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
11611287;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13363717;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
12830667;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
13217434;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
11498655;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
11466405;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
13188898;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
12498750;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
11181786;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
